countyFIPS,countyName,totalNum,testedNum,testedPer,up5Num,up5Per,up10Num,up10Per,bll5to9,bll10to14,bll15to19,bll20to24,bll24to45,bll45plus
001,Albany,18773,4745,0.252756619,236,0.049736565,82,0.017281349,154,41,14,7,17,0
003,Allegany,3000,777,0.259,29,0.037323037,11,0.014157014,18,0,6,0,0,0
007,Broome,12115,2711,0.223772183,89,0.032829214,32,0.011803762,57,17,8,0,0,0
009,Cattaraugus,5371,1398,0.260286725,67,0.047925608,16,0.011444921,51,7,0,0,0,0
011,Cayuga,4624,1271,0.274870242,44,0.034618411,7,0.005507474,37,0,0,0,0,0
013,Chautauqua,8436,2328,0.275960171,91,0.039089347,30,0.012886598,61,19,0,0,0,0
015,Chemung,5872,1460,0.248637602,49,0.033561644,19,0.013013699,30,8,6,0,0,0
017,Chenango,3060,809,0.264379085,42,0.051915946,12,0.014833127,30,7,0,0,0,0
019,Clinton,4718,1252,0.265366681,6,0.004792332,0,0,0,0,0,0,0,0
021,Columbia,3151,726,0.230403047,52,0.071625344,8,0.011019284,44,0,0,0,0,0
023,Cortland,2891,778,0.269111034,38,0.048843188,9,0.011568123,29,6,0,0,0,0
025,Delaware,2214,608,0.274616079,30,0.049342105,7,0.011513158,23,6,0,0,0,0
027,Dutchess,16589,4575,0.275785159,91,0.01989071,32,0.006994536,59,16,9,0,0,0
029,Erie,61090,20148,0.329808479,1130,0.056084971,415,0.020597578,715,217,95,49,46,8
031,Essex,1857,419,0.225632741,0,0,0,0,0,0,0,0,0,0
033,Franklin,3001,787,0.262245918,17,0.021601017,0,0,14,0,0,0,0,0
035,Fulton,3315,965,0.291101056,129,0.133678756,34,0.035233161,95,21,7,0,0,0
037,Genesee,3646,932,0.2556226,30,0.032188841,9,0.009656652,21,0,0,0,0,0
039,Greene,2438,577,0.236669401,22,0.03812825,6,0.010398614,16,0,0,0,0,0
041,Hamilton,173,46,0.265895954,0,0,0,0,0,0,0,0,0,0
043,Herkimer,3941,1153,0.292565339,62,0.053772767,20,0.017346054,42,11,0,0,0,0
045,Jefferson,10469,2502,0.238991308,77,0.03077538,23,0.009192646,54,11,0,0,0,0
049,Lewis,1973,435,0.220476432,26,0.059770115,7,0.016091954,19,0,0,0,0,0
051,Livingston,3333,861,0.258325833,29,0.033681765,8,0.009291521,21,6,0,0,0,0
053,Madison,4021,884,0.21984581,40,0.045248869,9,0.010180995,31,7,0,0,0,0
055,Monroe,50066,12791,0.255482763,403,0.031506528,105,0.008208897,298,53,31,9,10,0
057,Montgomery,3750,932,0.248533333,98,0.105150215,28,0.030042918,70,17,0,0,0,0
059,Nassau,90464,31150,0.344335868,201,0.006452648,42,0.001348315,159,26,7,0,0,0
063,Niagara,13349,3648,0.273278897,94,0.025767544,33,0.009046053,61,17,7,0,6,0
065,Oneida,15981,4431,0.277266754,519,0.117129316,139,0.031369894,380,86,27,13,11,0
067,Onondaga,31962,10400,0.325386396,482,0.046346154,155,0.014903846,327,97,19,19,17,0
069,Ontario,6710,1475,0.219821162,43,0.029152542,13,0.008813559,30,8,0,0,0,0
071,Orange,30541,7972,0.261026162,132,0.016557953,37,0.004641244,95,27,0,0,0,0
073,Orleans,2533,628,0.247927359,29,0.046178344,13,0.020700637,16,0,0,0,0,0
075,Oswego,7639,1902,0.248985469,66,0.034700315,14,0.007360673,52,9,0,0,0,0
077,Otsego,3111,944,0.303439409,19,0.020127119,0,0,16,0,0,0,0,0
079,Putnam,5401,1429,0.264580633,15,0.010496851,0,0,11,0,0,0,0,0
083,Rensselaer,10036,2525,0.251594261,110,0.043564356,42,0.016633663,68,24,9,0,7,0
087,Rockland,30924,9322,0.301448713,92,0.009869127,25,0.002681828,67,16,0,0,0,0
089,St. Lawrence,6974,1340,0.192142243,67,0.05,13,0.009701493,54,9,0,0,0,0
091,Saratoga,14431,3793,0.262836948,27,0.007118376,7,0.001845505,20,0,0,0,0,0
093,Schenectady,11014,2849,0.258670783,95,0.033345033,25,0.008775009,70,18,0,0,0,0
095,Schoharie,1579,418,0.264724509,6,0.014354067,0,0,0,0,0,0,0,0
097,Schuyler,1107,282,0.254742547,12,0.042553191,6,0.021276596,6,0,0,0,0,0
099,Seneca,2185,391,0.178947368,13,0.033248082,0,0,10,0,0,0,0,0
101,Steuben,6447,1488,0.230805026,51,0.034274194,17,0.011424731,34,12,0,0,0,0
103,Suffolk,96390,25165,0.2610748,175,0.006954103,47,0.001867673,128,26,8,7,0,0
105,Sullivan,5064,1190,0.234992101,32,0.026890756,9,0.007563025,23,6,0,0,0,0
107,Tioga,3024,599,0.198082011,29,0.048414023,0,0,24,0,0,0,0,0
109,Tompkins,5012,1376,0.274541101,23,0.016715116,7,0.005087209,16,0,0,0,0,0
111,Ulster,9654,2313,0.239589807,101,0.043666234,31,0.013402508,70,16,6,0,0,0
113,Warren,3500,1087,0.310571429,18,0.016559338,7,0.006439742,11,0,0,0,0,0
115,Washington,3661,992,0.270964217,37,0.037298387,11,0.01108871,26,9,0,0,0,0
117,Wayne,6109,1408,0.23047962,58,0.041193182,10,0.007102273,48,7,0,0,0,0
119,Westchester,67112,22177,0.33044761,404,0.018217072,95,0.004283717,309,53,14,11,14,0
121,Wyoming,2359,629,0.266638406,17,0.027027027,0,0,15,0,0,0,0,0
123,Yates,1849,343,0.185505679,16,0.04664723,0,0,13,0,0,0,0,0


